index,latitude,longitude,height,speed_x,speed_y,speed_z,pitch,roll,yaw,satellite_count,flight_mode,is_motor_on,is_flying,battery_percent,battery_voltage,cell_1,cell_2,cell_3,cell_4,message
1,38.1322288799182,24.329605041404093,0.0,0.0,0.0,0.0,4.5,1.3,130.5,208,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,
2,38.132228894633364,24.32960491470774,0.0,0.0,0.0,0.0,4.5,1.3,130.5,208,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,
3,38.13222874078595,24.329604792540085,0.0,0.0,0.0,0.0,4.5,1.3,130.4,208,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,
4,38.13222876514226,24.329604670582416,0.0,0.0,0.0,0.0,4.4,1.3,130.5,208,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,
6,38.13222880512852,24.329604598214924,0.0,0.0,0.0,0.0,4.5,1.3,130.4,208,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,
7,38.13222899479964,24.329604471778225,0.0,0.0,0.0,0.0,4.5,1.3,130.4,208,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,
8,38.13222899842585,24.329604525062308,0.0,0.0,0.0,0.0,4.3,1.4000000000000001,130.4,208,26,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
9,38.13222899357112,24.329604575998832,0.0,0.0,0.0,0.0,4.0,1.4000000000000001,130.4,208,26,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
10,38.1322288323949,24.32960464115313,0.0,0.0,0.0,-0.01,-1.6,1.7000000000000002,129.20000000000002,208,26,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
11,38.132228827944374,24.329604893276144,0.0,0.0,0.01,-0.05,-1.5,1.0,129.9,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
12,38.13222881833023,24.329605367345213,0.2,0.0,0.02,-0.11,-1.1,1.1,130.3,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
13,38.13222870542741,24.329606193914838,0.5,0.0,0.03,-0.18,-5.7,3.6,130.1,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,\ f:=ded. Return-to-Home Altitude:70.0 m
14,38.132228486591515,24.329607542438175,1.0,-0.01,0.05,-0.26,-8.3,5.9,129.9,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
15,3.674749837051007e-231,1.8837199170408695e-16,1.8,-0.04,0.08,-0.34,-8.6,6.9,130.20000000000002,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
16,38.132226458970365,24.329611519422908,3.0,-0.07,0.1,-0.42,-8.700000000000001,6.2,129.70000000000002,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
17,38.13222458279742,24.329614339683644,4.4,-0.09,0.11,-0.44,-9.5,6.7,131.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
18,38.13222263073936,24.329616576386247,5.7,-0.11,0.12,-0.39,-14.4,3.8000000000000003,131.5,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
19,38.13222054812333,24.329619335924868,6.5,-0.13,0.14,-0.33,-26.6,0.8,131.3,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
20,38.13221764018733,24.329623429005956,7.4,-0.18,0.22,-0.35000000000000003,-23.0,-1.8,131.0,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
21,38.132214048304824,24.329629569888198,8.4,-0.2,0.31,-0.44,-15.600000000000001,-1.3,127.9,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
22,38.13220953665247,24.329637725122197,9.600000000000001,-0.22,0.35000000000000003,-0.53,-9.9,1.5,127.60000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
23,38.13220506362497,24.329645681247623,10.8,-0.22,0.36,-0.59,-9.5,2.5,126.5,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
24,38.13220081339327,24.329654005093236,12.0,-0.22,0.37,-0.61,-2.7,3.5,124.80000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
26,38.13219358396298,24.329669442864787,14.0,-0.18,0.28,-0.55,7.0,26.900000000000002,124.30000000000001,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
27,38.1321901266324,24.329674711967623,14.700000000000001,-0.19,0.22,-0.45,1.7000000000000002,29.900000000000002,133.20000000000002,208,28,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
28,38.132186215359845,24.329679147832,15.200000000000001,-0.21,0.17,-0.35000000000000003,1.1,29.1,144.4,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
29,38.13218235331942,24.329682630115634,15.4,-0.2,0.11,-0.26,17.6,22.700000000000003,159.3,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
31,38.13217642087902,24.329686420600222,15.3,-0.12,0.03,-0.04,16.400000000000002,25.3,-176.8,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
32,38.13217452437601,24.32968629668334,15.200000000000001,-0.05,-0.02,-0.01,14.100000000000001,25.1,-165.0,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
33,38.132174487661274,24.32968499504447,15.200000000000001,0.01,-0.07,0.0,9.1,12.700000000000001,-155.3,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
34,38.132175711258554,24.329683009166676,15.100000000000001,0.06,-0.08,0.0,5.4,0.2,-142.1,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
35,38.13217741472549,24.32968128705446,15.100000000000001,0.08,-0.06,0.0,3.4000000000000004,-7.2,-129.6,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
36,38.13217908572178,24.329680250458633,15.100000000000001,0.08,-0.04,0.0,3.2,-10.9,-117.4,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
37,38.13218086498283,24.3296794975472,15.200000000000001,0.07,-0.02,0.0,5.1000000000000005,-11.600000000000001,-105.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
38,38.132182615975054,24.32967923692334,15.200000000000001,0.07,0.0,0.0,5.6000000000000005,-14.5,-93.2,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
39,38.13218432597794,24.32967929816291,15.3,0.05,0.0,0.0,6.300000000000001,-16.400000000000002,-80.5,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
40,38.13218543390896,24.32967952166959,15.4,0.03,0.01,0.0,7.1000000000000005,-15.700000000000001,-68.2,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
41,38.13218599556489,24.32967975418811,15.4,0.01,0.0,0.0,7.5,-13.4,-56.2,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
42,38.13218605620328,24.329680130277627,15.5,0.0,0.0,0.0,7.300000000000001,-10.3,-45.300000000000004,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
43,38.132185873728886,24.329680152464086,15.5,-0.01,-0.01,0.0,7.4,-7.800000000000001,-44.800000000000004,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
44,38.132185935553814,24.32968009296158,15.4,-0.01,-0.01,0.09,6.2,-3.8000000000000003,-44.900000000000006,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
45,38.132186178416134,24.3296801912231,15.100000000000001,0.0,-0.01,0.15,2.2,-0.30000000000000004,-45.1,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
46,38.13218645614103,24.329680309013824,14.700000000000001,0.01,0.0,0.25,6.4,-1.0,-45.900000000000006,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
47,38.13218666409575,24.329680553541834,14.200000000000001,0.0,0.01,0.28,13.0,-2.3000000000000003,-46.400000000000006,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
48,38.13218654743807,24.32968158388136,13.600000000000001,-0.01,0.03,0.28,17.2,-3.5,-45.5,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
49,38.132185979100285,24.32968301628958,13.100000000000001,-0.04,0.07,0.27,19.900000000000002,-3.4000000000000004,-45.400000000000006,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
50,38.13218503167529,24.32968540802051,12.5,-0.07,0.1,0.27,23.3,-4.5,-46.7,208,12,False,False,0.0,0.0,0.0,0.0,0.0,0.0,
